,date,voltage
332,2022-12-02 03:49:31.483,27.4
333,2022-12-02 03:50:33.592,27.4
334,2022-12-02 03:51:35.669,27.4
335,2022-12-02 03:52:37.770,27.4
336,2022-12-02 03:53:39.859,27.4
337,2022-12-02 03:54:41.949,27.4
338,2022-12-02 03:55:44.043,27.4
339,2022-12-02 03:56:46.144,27.4
340,2022-12-02 03:57:48.260,27.4
341,2022-12-02 03:58:50.351,27.4
342,2022-12-02 03:59:52.436,27.4
343,2022-12-02 04:00:54.533,27.4
344,2022-12-02 04:01:56.619,27.4
345,2022-12-02 04:02:58.705,27.4
346,2022-12-02 04:04:00.805,27.4
347,2022-12-02 04:05:02.909,27.4
348,2022-12-02 04:06:04.986,27.4
349,2022-12-02 04:07:07.082,27.4
350,2022-12-02 04:08:09.176,27.4
351,2022-12-02 04:09:11.268,27.4
352,2022-12-02 04:10:13.363,27.4
353,2022-12-01 15:05:36.292,27.5
354,2022-12-01 15:06:38.402,27.5
355,2022-12-01 15:07:40.513,27.5
356,2022-12-01 15:08:42.621,27.5
357,2022-12-01 15:09:44.730,27.5
358,2022-12-01 15:10:46.836,27.5
359,2022-12-01 15:11:48.940,27.5
360,2022-12-01 15:12:51.043,27.5
361,2022-12-01 15:13:53.158,27.5
362,2022-12-01 15:14:55.264,27.5
363,2022-12-01 15:15:57.374,27.5
364,2022-12-01 15:16:59.473,27.5
365,2022-12-01 15:18:01.587,27.5
366,2022-12-01 15:19:03.691,27.5
367,2022-12-01 15:20:05.793,27.5
368,2022-12-01 15:21:07.909,27.5
369,2022-12-01 15:22:10.015,27.5
370,2022-12-01 15:23:12.114,27.5
371,2022-12-01 15:24:14.215,27.5
372,2022-12-01 15:25:16.329,27.5
373,2022-12-01 15:26:18.440,27.5
374,2022-12-01 15:27:20.539,27.5
375,2022-12-01 15:28:22.642,27.5
376,2022-12-01 15:29:24.755,27.5
377,2022-12-01 15:30:26.861,27.5
378,2022-12-01 15:31:28.967,27.5
379,2022-12-01 15:32:31.077,27.5
380,2022-12-01 15:33:33.178,27.5
381,2022-12-01 15:34:35.287,27.5
382,2022-12-01 15:35:37.395,27.5
383,2022-12-01 15:36:39.500,27.5
384,2022-12-01 15:37:41.613,27.5
385,2022-12-01 15:38:43.691,27.5
386,2022-12-01 15:39:45.789,27.5
387,2022-12-01 15:40:47.894,27.5
388,2022-12-01 15:41:50.002,27.5
389,2022-12-01 15:42:52.105,27.5
390,2022-12-01 15:43:54.208,27.5
391,2022-12-01 15:44:56.309,27.5
392,2022-12-01 15:45:58.387,27.5
393,2022-12-01 15:47:00.498,27.5
394,2022-12-01 15:48:02.599,27.5
395,2022-12-01 15:49:04.707,27.5
396,2022-12-01 15:50:06.812,27.5
397,2022-12-01 15:51:08.908,27.5
398,2022-12-01 15:52:11.028,27.5
399,2022-12-01 15:53:13.133,27.5
400,2022-12-01 15:54:15.230,27.5
401,2022-12-01 15:55:17.331,27.5
402,2022-12-01 15:56:19.432,27.5
403,2022-12-01 15:57:21.534,27.5
404,2022-12-01 15:58:23.623,27.5
405,2022-12-01 15:59:25.708,27.5
406,2022-12-01 16:00:27.808,27.5
407,2022-12-01 16:01:29.913,27.5
408,2022-12-01 16:02:32.014,27.5
409,2022-12-01 16:03:34.124,27.5
410,2022-12-01 16:04:36.230,27.5
411,2022-12-01 16:05:38.334,27.5
412,2022-12-01 16:06:40.448,27.5
413,2022-12-01 16:07:42.554,27.5
414,2022-12-01 16:08:44.658,27.5
415,2022-12-01 16:09:46.762,27.5
416,2022-12-01 16:10:48.870,27.5
417,2022-12-01 16:11:50.976,27.5
418,2022-12-01 16:12:53.087,27.5
419,2022-12-01 16:13:55.192,27.5
420,2022-12-01 16:14:57.298,27.5
421,2022-12-01 16:15:59.406,27.5
422,2022-12-01 16:17:01.512,27.5
423,2022-12-01 16:18:03.613,27.5
424,2022-12-01 16:19:05.722,27.5
425,2022-12-01 16:20:07.826,27.5
426,2022-12-01 16:21:09.929,27.5
427,2022-12-01 16:22:12.037,27.5
428,2022-12-01 16:23:14.132,27.5
429,2022-12-01 16:24:16.215,27.5
430,2022-12-01 16:25:18.307,27.5
431,2022-12-01 16:26:20.416,27.5
432,2022-12-01 16:27:22.519,27.5
433,2022-12-01 16:28:24.619,27.5
434,2022-12-01 16:29:26.718,27.5
435,2022-12-01 16:30:28.822,27.5
436,2022-12-01 16:31:30.918,27.5
437,2022-12-01 16:32:33.027,27.5
438,2022-12-01 16:33:35.138,27.5
439,2022-12-01 16:34:37.242,27.5
440,2022-12-01 16:35:39.342,27.5
441,2022-12-01 16:36:41.426,27.5
442,2022-12-01 16:37:43.501,27.5
443,2022-12-01 16:38:45.604,27.5
444,2022-12-01 16:39:47.709,27.5
445,2022-12-01 16:40:49.805,27.5
446,2022-12-01 16:41:51.917,27.5
447,2022-12-01 16:42:54.022,27.5
448,2022-12-01 16:43:56.129,27.5
449,2022-12-01 16:44:58.245,27.5
450,2022-12-01 16:46:00.350,27.5
451,2022-12-01 16:47:02.454,27.5
452,2022-12-01 16:48:04.560,27.5
453,2022-12-01 16:49:06.661,27.5
454,2022-12-01 16:50:08.770,27.5
455,2022-12-01 16:51:10.873,27.5
456,2022-12-01 16:52:12.983,27.5
457,2022-12-01 16:53:15.089,27.5
458,2022-12-01 16:54:17.194,27.5
459,2022-12-01 16:55:19.294,27.5
460,2022-12-01 16:56:21.402,27.5
461,2022-12-01 16:57:23.512,27.5
462,2022-12-01 16:58:25.622,27.5
463,2022-12-01 16:59:27.725,27.5
464,2022-12-01 17:00:29.830,27.5
465,2022-12-01 17:01:31.941,27.5
466,2022-12-01 17:02:34.043,27.5
467,2022-12-01 17:03:36.150,27.5
468,2022-12-01 17:04:38.260,27.5
469,2022-12-01 17:05:40.361,27.5
470,2022-12-01 17:06:42.473,27.5
471,2022-12-01 17:07:44.574,27.5
472,2022-12-01 17:08:46.685,27.5
473,2022-12-01 17:09:48.774,27.5
474,2022-12-01 17:10:50.889,27.5
475,2022-12-01 17:11:52.991,27.5
476,2022-12-01 17:12:55.097,27.5
477,2022-12-01 17:13:57.204,27.5
478,2022-12-01 17:14:59.313,27.5
479,2022-12-01 17:16:01.425,27.5
480,2022-12-01 17:17:03.526,27.5
481,2022-12-01 17:18:05.635,27.5
482,2022-12-01 17:19:07.734,27.5
483,2022-12-01 17:20:09.840,27.5
484,2022-12-01 17:21:11.951,27.5
485,2022-12-01 17:22:14.056,27.5
486,2022-12-01 17:23:16.162,27.5
487,2022-12-01 17:24:18.268,27.5
488,2022-12-01 17:25:20.375,27.5
489,2022-12-01 17:26:22.478,27.5
490,2022-12-01 17:27:24.585,27.5
491,2022-12-01 17:28:26.695,27.5
492,2022-12-01 17:29:28.800,27.5
493,2022-12-01 17:30:30.905,27.5
494,2022-12-01 17:31:33.007,27.5
495,2022-12-01 17:32:35.119,27.5
496,2022-12-01 17:33:37.220,27.5
497,2022-12-01 17:34:39.330,27.5
498,2022-12-01 17:35:41.435,27.5
499,2022-12-01 17:36:43.543,27.5
500,2022-12-01 17:37:45.648,27.5
501,2022-12-01 17:38:47.758,27.5
502,2022-12-01 17:39:49.859,27.5
503,2022-12-01 17:40:51.972,27.5
504,2022-12-01 17:41:54.072,27.5
505,2022-12-01 17:42:56.179,27.5
506,2022-12-01 17:43:58.292,27.5
507,2022-12-01 17:45:00.377,27.5
508,2022-12-01 17:46:02.488,27.5
509,2022-12-01 17:47:04.583,27.5
510,2022-12-01 17:48:06.687,27.5
511,2022-12-01 17:49:08.795,27.5
512,2022-12-01 17:50:10.896,27.5
513,2022-12-01 17:51:12.997,27.5
514,2022-12-01 17:52:15.095,27.5
515,2022-12-01 17:53:17.207,27.5
516,2022-12-01 17:54:19.314,27.5
517,2022-12-01 17:55:21.416,27.5
518,2022-12-01 17:56:23.520,27.5
519,2022-12-01 17:57:25.632,27.5
520,2022-12-01 17:58:27.738,27.5
521,2022-12-01 17:59:29.842,27.5
522,2022-12-01 18:00:31.951,27.5
523,2022-12-01 18:01:34.059,27.5
524,2022-12-01 18:02:36.168,27.5
525,2022-12-01 18:03:38.269,27.5
526,2022-12-01 18:04:40.375,27.5
527,2022-12-01 18:05:42.475,27.5
528,2022-12-01 18:06:44.592,27.5
529,2022-12-01 18:07:46.695,27.5
530,2022-12-01 18:08:48.801,27.5
531,2022-12-01 18:09:50.906,27.5
532,2022-12-01 18:10:53.008,27.5
533,2022-12-01 18:11:55.118,27.5
534,2022-12-01 18:12:57.223,27.5
535,2022-12-01 18:13:59.332,27.5
536,2022-12-01 18:15:01.436,27.5
537,2022-12-01 18:16:03.538,27.5
538,2022-12-01 18:17:05.649,27.5
539,2022-12-01 18:18:07.758,27.5
540,2022-12-01 18:19:09.862,27.5
541,2022-12-01 18:20:11.971,27.5
542,2022-12-01 18:21:14.071,27.5
543,2022-12-01 18:22:16.177,27.5
544,2022-12-01 18:23:18.287,27.5
545,2022-12-01 18:24:20.383,27.5
546,2022-12-01 18:25:22.496,27.5
547,2022-12-01 18:26:24.605,27.5
548,2022-12-01 18:27:26.716,27.5
549,2022-12-01 18:28:28.822,27.5
550,2022-12-01 18:29:30.923,27.5
551,2022-12-01 18:30:33.033,27.5
552,2022-12-01 18:31:35.137,27.5
553,2022-12-01 18:32:37.248,27.5
554,2022-12-01 18:33:39.352,27.5
555,2022-12-01 18:34:41.451,27.5
556,2022-12-01 18:35:43.557,27.5
557,2022-12-01 18:36:45.634,27.5
558,2022-12-01 18:37:47.714,27.5
559,2022-12-01 18:38:49.815,27.5
560,2022-12-01 18:39:51.919,27.5
561,2022-12-01 18:40:54.022,27.5
562,2022-12-01 18:41:56.135,27.5
563,2022-12-01 18:42:58.236,27.5
564,2022-12-01 18:44:00.348,27.5
565,2022-12-01 18:45:02.439,27.5
566,2022-12-01 18:46:04.526,27.5
567,2022-12-01 18:47:06.632,27.5
568,2022-12-01 18:48:08.733,27.5
569,2022-12-01 18:49:10.842,27.5
570,2022-12-01 18:50:12.951,27.5
571,2022-12-01 18:51:15.055,27.5
572,2022-12-01 18:52:17.159,27.5
573,2022-12-01 18:53:19.264,27.5
574,2022-12-01 18:54:21.374,27.5
575,2022-12-01 18:55:23.477,27.5
576,2022-12-01 18:56:25.584,27.5
577,2022-12-01 18:57:27.691,27.5
578,2022-12-01 18:58:29.797,27.5
